parcelid,zipcode,airconditioningtypeid,bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedbathnbr,yearbuilt,taxvaluedollarcnt,latitude,longitude,formatted.address,pred_tax_value
10714381,91304,,3,4,4,3,1959,612951,34.223206,-118.609258,"22130 Eccles St, Canoga Park, CA 91304, USA",405980
10714389,91304,,2,3,7,2,1959,260775,34.223051,-118.608051,"22120 Chase St, Canoga Park, CA 91304, USA",222333
10714397,91304,,2,3,7,2,1959,420000,34.222786,-118.608306,"8421 Nevada Ave, West Hills, CA 91304, USA",222364
10714444,91304,1,2,4,4,2,1970,110438,34.232679,-118.607208,"8919 Hanna Ave, Canoga Park, CA 91304, USA",317329
10714454,91304,1,3,4,4,3,1970,422978,34.232423,-118.606775,"8900 Hanna Ave, Canoga Park, CA 91304, USA",422390
10714463,91304,1,2,3,4,2,1970,251547,34.232235,-118.605872,"8901 Megan Pl, Canoga Park, CA 91304, USA",229097
10714470,91304,1,2,4,4,2,1969,575000,34.233211,-118.604584,"8972 Megan Ave, West Hills, CA 91304, USA",245562
10714509,91304,,2,3,7,2,1959,234779,34.221634,-118.608839,"22110 Hackney St, Canoga Park, CA 91304, USA",222334
10714574,91304,1,2,4,4,2,1973,267539,34.216689,-118.607026,"22026 Lanark St, Canoga Park, CA 91304, USA",251783
10714684,91304,1,2,3,4,2,1957,240723,34.217669,-118.607949,"8134 Burton St, Canoga Park, CA 91304, USA",407634
10714739,91304,,2,3,4,2,1957,77057,34.216244,-118.607583,"8019 Hanna Ave, Canoga Park, CA 91304, USA",321632
10714757,91304,,2,3,4,2,1957,382514,34.216101,-118.609816,"22146 Baltar St, Canoga Park, CA 91304, USA",179132
10714817,91304,,2,3,4,2,1957,282086,34.21892,-118.609914,"22149 Burton St, Canoga Park, CA 91304, USA",176224
10714852,91304,,2,3,4,2,1957,339656,34.21341,-118.60875,"7855 Glade Ave, Canoga Park, CA 91304, USA",171074
10714932,91304,,3,5,4,3,1958,426592,34.214333,-118.605969,"7909 Topanga Canyon Blvd, Canoga Park, CA 91304, USA",300645
10714954,91304,,2,3,4,2,1958,310296,34.213948,-118.60694,"7900 Hanna Ave, Canoga Park, CA 91304, USA",177830
10714961,91304,,2,3,4,2,1958,221993,34.214525,-118.606942,"7922 Hanna Ave, Canoga Park, CA 91304, USA",177830
10714972,91304,,2,4,7,2,1958,67466,34.212544,-118.60924,"22128 Elkwood St, Canoga Park, CA 91304, USA",221572
10714982,91304,,2,4,7,2,1958,433491,34.212195,-118.607426,"7827 Topanga Canyon Blvd, Canoga Park, CA 91304, USA",221584
10715001,91304,,2,3,7,2,1958,65225,34.213293,-118.610883,"7845 Farralone Ave, Canoga Park, CA 91304, USA",376668
10715028,91304,,2,4,7,2,1958,427000,34.21275,-118.613042,"7832 Nita Ave, Canoga Park, CA 91304, USA",289959
10715207,91304,,2,3,4,2,1959,399596,34.218102,-118.613055,"22317 Cantara St, Canoga Park, CA 91304, USA",236350
10715222,91304,,2,3,4,2,1959,451898,34.217631,-118.613535,"22330 Cantara St, Canoga Park, CA 91304, USA",308689
10715306,91304,1,2,3,4,2,1958,353306,34.214389,-118.610247,"7922 Farralone Ave, Canoga Park, CA 91304, USA",249273
10715331,91304,,2,4,7,2,1959,475000,34.211216,-118.607928,"7741 Glade Ave, Canoga Park, CA 91304, USA",290914
10715350,91304,,2,4,7,2,1963,217870,34.218412,-118.607033,"8201 Topanga Canyon Blvd, Canoga Park, CA 91304, USA",492698
10715360,91304,1,2,3,7,2,1960,311390,34.215719,-118.61649,"7956 Capistrano Ave, West Hills, CA 91304, USA",303046
10715412,91304,,2,3,7,2,1957,219277,34.218237,-118.620741,"22644 Burton St, Canoga Park, CA 91304, USA",309008
10715471,91304,1,2,3,7,2,1957,358252,34.217123,-118.619581,"8123 Sale Ave, Canoga Park, CA 91304, USA",474188
10715504,91304,1,3,4,4,3,1976,505284,34.209284,-118.620607,"7631 Faust Ave, Canoga Park, CA 91304, USA",519139
10715534,91304,,2,4,7,2,1957,302147,34.213694,-118.61796,"7857 Kentland Ave, Canoga Park, CA 91304, USA",216765
10715569,91304,,2,4,7,2,1957,436000,34.2143,-118.617398,"7918 Kentland Ave, Canoga Park, CA 91304, USA",216765
10715606,91304,,2,4,7,2,1957,60537,34.214821,-118.616433,"7938 Capistrano Ave, Canoga Park, CA 91304, USA",216765
10715615,91304,,2,4,7,2,1957,60537,34.213263,-118.61643,"7844 Capistrano Ave, Canoga Park, CA 91304, USA",216765
10715630,91304,,2,4,7,2,1957,407991,34.213264,-118.616036,"7845 Sausalito Ave, West Hills, CA 91304, USA",216765
10715637,91304,,2,4,7,2,1957,60537,34.214476,-118.616039,"7927 Sausalito Ave, West Hills, CA 91304, USA",217458
10715682,91304,,2,3,4,2,1957,453000,34.215342,-118.615076,"7957 Shoup Ave, Canoga Park, CA 91304, USA",221713
10715738,91304,,2,3,7,2,1959,335789,34.209738,-118.614084,"7653 Nita Ave, Canoga Park, CA 91304, USA",479103
10715771,91304,,2,3,7,2,1959,220266,34.210673,-118.615063,"7719 Shoup Ave, West Hills, CA 91304, USA",374879
10715807,91304,,2,3,7,2,1958,328476,34.211537,-118.616031,"7749 Sausalito Ave, West Hills, CA 91304, USA",376163
10715860,91304,1,3,4,4,3,1965,272516,34.210609,-118.618328,"7716 Sale Ave, Canoga Park, CA 91304, USA",329128
10715861,91304,1,3,4,4,3,1965,364760,34.210792,-118.618328,"7722 Sale Ave, Canoga Park, CA 91304, USA",398546
10715862,91304,1,3,4,4,3,1965,640000,34.210975,-118.618329,"7728 Sale Ave, West Hills, CA 91304, USA",509265
10715883,91304,,2,4,7,2,1959,218467,34.208931,-118.614316,"22353 Lull St, Canoga Park, CA 91304, USA",288682
10715980,91304,,2,4,7,2,1960,179359,34.21772,-118.617872,"8144 Kentland Ave, Canoga Park, CA 91304, USA",221355
10716066,91304,,2,3,7,2,1962,418039,34.214234,-118.621718,"7919 Ponce Ave, Canoga Park, CA 91304, USA",275391
10716133,91304,,2,3,7,2,1962,426000,34.21205,-118.620185,"7800 Faust Ave, West Hills, CA 91304, USA",258575
10716184,91304,,2,3,7,2,1962,114657,34.214238,-118.618891,"7917 Sale Ave, West Hills, CA 91304, USA",275408
10716254,91304,1,3,4,4,3,1965,455373,34.210759,-118.619256,"7724 Vicky Ave, Canoga Park, CA 91304, USA",329133
10716359,91304,,2,3,7,2,1956,464090,34.217369,-118.623341,"8130 Fallbrook Ave, West Hills, CA 91304, USA",229378
10716421,91304,,2,3,7,2,1956,466196,34.217919,-118.624077,"8208 McLaren Ave, West Hills, CA 91304, USA",303430
10716530,91304,,2,4,7,2,1957,518000,34.213116,-118.624621,"7831 Lena Ave, West Hills, CA 91304, USA",403376
10716542,91304,,2,3,7,2,1957,319578,34.215262,-118.624534,"7954 McLaren Ave, Canoga Park, CA 91304, USA",302103
10716548,91304,,2,5,7,2,1957,403211,34.214631,-118.623898,"7927 Fallbrook Ave, Canoga Park, CA 91304, USA",369447
10716614,91304,,2,3,7,2,1959,387337,34.209643,-118.622837,"22745 Lull St, Canoga Park, CA 91304, USA",278544
10716648,91304,,2,3,7,2,1956,96033,34.208888,-118.623683,"22805 Saticoy St, Canoga Park, CA 91304, USA",374436
10716711,91304,,2,3,4,2,1957,533000,34.20987,-118.626202,"7651 Lena Ave, West Hills, CA 91304, USA",264360
10716732,91304,,2,3,7,2,1959,368747,34.210673,-118.624604,"7708 Minstrel Ave, West Hills, CA 91304, USA",274604
10716733,91304,,2,3,7,2,1959,490000,34.210824,-118.624682,"7722 Minstrel Ave, Canoga Park, CA 91304, USA",278543
10716763,91304,,2,4,7,2,1957,422502,34.212098,-118.625937,"22909 Ingomar St, West Hills, CA 91304, USA",286601
10716784,91304,,2,3,7,2,1957,408128,34.213135,-118.626401,"22924 Arminta St, Canoga Park, CA 91304, USA",301526
10716787,91304,1,2,3,7,2,1957,491811,34.213115,-118.625691,"7843 Lena Ave, West Hills, CA 91304, USA",423655
10716887,91304,,2,3,7,2,1958,405793,34.213129,-118.627301,"22948 Arminta St, Canoga Park, CA 91304, USA",414492
10716958,91304,,2,3,7,2,1958,462000,34.21305,-118.63091,"7838 Quimby Ave, Canoga Park, CA 91304, USA",231726
10716965,91304,,2,3,7,2,1958,318351,34.212198,-118.630454,"7809 Sedan Ave, Canoga Park, CA 91304, USA",231107
10716971,91304,1,3,3,4,3,1958,468621,34.213187,-118.630457,"7845 Sedan Ave, West Hills, CA 91304, USA",360187
10717002,91304,1,3,4,4,3,1979,236464,34.211599,-118.630399,"7756 Quimby Ave, West Hills, CA 91304, USA",484766
10717081,91304,,2,3,7,2,1961,437059,34.209708,-118.628412,"7644 Ducor Ave, West Hills, CA 91304, USA",260261
10717105,91304,,2,3,7,2,1961,210695,34.210407,-118.627501,"7706 Royer Ave, West Hills, CA 91304, USA",259860
10717128,91304,,2,3,7,2,1961,493000,34.209904,-118.62894,"7653 Ducor Ave, Canoga Park, CA 91304, USA",306078
10717136,91304,,2,3,7,2,1961,229831,34.211481,-118.628945,"7749 Ducor Ave, Canoga Park, CA 91304, USA",276694
10717158,91304,,2,4,4,2,1962,403692,34.216205,-118.629961,"23062 Baltar St, Canoga Park, CA 91304, USA",90507
10717159,91304,1,3,4,4,3,1962,333918,34.216162,-118.629718,"23056 Baltar St, West Hills, CA 91304, USA",402813
10717162,91304,,2,3,4,2,1962,533735,34.216032,-118.628991,"23044 Baltar St, West Hills, CA 91304, USA",304711
10717198,91304,,2,3,4,2,1962,473896,34.216753,-118.630283,"23068 Lanark St, Canoga Park, CA 91304, USA",357833
10717684,91304,1,3,4,4,3,1987,780000,34.22686,-118.650806,"8591 Big Rock Trail, West Hills, CA 91304, USA",477056
10717744,91304,1,4,4,4,4,1988,986053,34.225391,-118.647313,"23915 Eagle Mountain St, West Hills, CA 91304, USA",1071795
10717891,91304,1,5,5,10,5,1992,801452,34.210404,-118.65501,"7624 Carmenita Ln, West Hills, CA 91304, USA",1901437
10717908,91304,1,3,5,1,3,1995,626500,34.210303,-118.656257,"24709 Stonegate Dr, Canoga Park, CA 91304, USA",610121
10717940,91304,1,3,5,1,3,1995,586185,34.207898,-118.65536,"7433 Graystone Dr, Canoga Park, CA 91304, USA",729424
10717957,91304,1,3,4,1,3,1995,650231,34.207828,-118.656658,"24543 Stonegate Dr, West Hills, CA 91304, USA",498431
10718011,91304,1,3,4,1,3,1995,466966,34.209433,-118.657888,"7518 Penobscot Dr, Canoga Park, CA 91304, USA",504478
10718045,91304,1,3,5,1,3,1995,993474,34.208783,-118.661319,"24652 Overland Dr, Canoga Park, CA 91304, USA",610359
10718129,91304,1,3,3,4,3,1983,743054,34.213004,-118.641205,"23610 Arminta St, West Hills, CA 91304, USA",594957
10718244,91304,1,3,4,4,3,1984,295516,34.214378,-118.642975,"23661 Blythe St, Canoga Park, CA 91304, USA",338803
10718302,91304,1,2,3,4,2,1981,322024,34.216685,-118.64225,"23644 Justice St, West Hills, CA 91304, USA",402639
10718320,91304,1,3,4,4,3,1981,472710,34.218895,-118.644934,"23751 Burton St, West Hills, CA 91304, USA",737691
10718335,91304,1,5,5,1,5,2012,958317,34.217892,-118.644733,"23727 Fitzgerald St, West Hills, CA 91304, USA",1357305
10718386,91304,1,3,4,4,3,1984,339347,34.212592,-118.646348,"7824 Valley Flores Dr, West Hills, CA 91304, USA",545055
10718415,91304,1,3,4,4,3,1986,570354,34.213981,-118.649901,"7911 Mencken Ave, West Hills, CA 91304, USA",739109
10718417,91304,1,3,4,4,3,1986,867000,34.214343,-118.64989,"24017 Meredith Ct, West Hills, CA 91304, USA",737109
10718451,91304,1,5,5,1,5,1987,983072,34.211386,-118.643891,"23690 Ingomar St, West Hills, CA 91304, USA",1148343
10718455,91304,1,3,4,1,3,1987,818372,34.211344,-118.644931,"23706 Ingomar St, West Hills, CA 91304, USA",1159618
10718555,91304,1,3,5,4,3,1964,443747,34.215556,-118.639023,"23510 Baltar St, West Hills, CA 91304, USA",328828
10718565,91304,1,3,4,4,3,1982,556161,34.215555,-118.639465,"8010 Maestro Ave, West Hills, CA 91304, USA",568808
10718792,91304,1,3,4,4,3,1965,645000,34.213944,-118.634452,"23264 Blythe St, West Hills, CA 91304, USA",455278
10718824,91304,1,2,4,4,2,1986,389691,34.215533,-118.644556,"23720 Baltar St, West Hills, CA 91304, USA",381618
10718838,91304,1,3,4,4,3,1986,608248,34.216696,-118.645663,"8046 Valley Flores Dr, West Hills, CA 91304, USA",686515
10718876,91304,1,3,4,4,3,1985,734385,34.212506,-118.650147,"23927 Ingomar St, Canoga Park, CA 91304, USA",401145
10718948,91304,1,2,3,4,2,1984,660872,34.214667,-118.645736,"7924 Valley Flores Dr, West Hills, CA 91304, USA",396749
10718981,91304,1,3,4,4,3,1986,460305,34.215212,-118.647614,"23852 Strathern St, West Hills, CA 91304, USA",739095
10718998,91304,1,3,4,4,3,1986,554368,34.215327,-118.64984,"23947 Strathern St, West Hills, CA 91304, USA",613736
10719033,91304,1,5,4,1,5,2001,843553,34.210945,-118.646015,"23739 Stagg St, West Hills, CA 91304, USA",1026577
10719087,91304,,2,3,7,2,1956,255307,34.207953,-118.627089,"22938 Saticoy St, Canoga Park, CA 91304, USA",308463
10719094,91307,,2,3,7,2,1956,530389,34.206718,-118.628044,"23001 Covello St, West Hills, CA 91307, USA",424924
10719143,91307,1,3,5,7,3,1956,623207,34.20626,-118.626781,"7501 Lena Ave, West Hills, CA 91307, USA",913013
10719230,91307,,2,3,7,2,1959,458000,34.204765,-118.623717,"22800 Runnymede St, West Hills, CA 91307, USA",489106
10719250,91307,,2,3,7,2,1960,343489,34.204437,-118.626047,"22907 Valerio St, West Hills, CA 91307, USA",485310
10719288,91307,,2,3,7,2,1959,182928,34.205382,-118.625035,"22845 Runnymede St, West Hills, CA 91307, USA",338705
10719321,91307,1,2,3,4,2,1977,164904,34.207002,-118.624562,"22836 Covello St, West Hills, CA 91307, USA",341054
10719364,91307,,2,3,7,2,1959,426386,34.205475,-118.623482,"7439 Fallbrook Ave, West Hills, CA 91307, USA",540170
10719477,91307,,2,3,7,2,1960,243164,34.203194,-118.625518,"22856 Leadwell St, West Hills, CA 91307, USA",597762
10719592,91307,,2,3,7,2,1956,64411,34.201661,-118.621117,"7214 Maynard Ave, West Hills, CA 91307, USA",494728
10719619,91307,,2,2,7,2,1956,361516,34.202446,-118.620227,"7250 Ponce Ave, West Hills, CA 91307, USA",440551
10719638,91307,,2,3,7,2,1956,242840,34.204746,-118.620623,"22641 Valerio St, West Hills, CA 91307, USA",520179
10719657,91307,,2,3,7,2,1956,239128,34.206369,-118.621349,"22660 Cohasset St, West Hills, CA 91307, USA",596811
10719680,91307,1,2,3,4,2,1956,118670,34.207614,-118.62187,"22713 Covello St, West Hills, CA 91307, USA",533604
10719735,91307,,2,3,7,2,1956,486448,34.206411,-118.620124,"22630 Cohasset St, West Hills, CA 91307, USA",583210
10719779,91307,,2,2,7,2,1956,141309,34.204402,-118.619234,"22600 Valerio St, West Hills, CA 91307, USA",600999
10719790,91307,,2,3,7,2,1956,292538,34.202344,-118.618575,"7244 Kentland Ave, Canoga Park, CA 91307, USA",424908
10719792,91307,,2,3,7,2,1956,60733,34.202918,-118.618274,"7300 Kentland Ave, West Hills, CA 91307, USA",424911
10719810,91307,,2,3,7,2,1956,407000,34.2057,-118.618453,"7430 Kentland Ave, Canoga Park, CA 91307, USA",424911
10719826,91307,,2,3,7,2,1956,341012,34.20569,-118.618096,"7431 Capistrano Ave, West Hills, CA 91307, USA",425689
10719832,91307,,2,4,7,2,1956,508917,34.205022,-118.617559,"7408 Capistrano Ave, West Hills, CA 91307, USA",535756
10719842,91307,,2,3,7,2,1956,435000,34.206932,-118.617562,"7522 Capistrano Ave, West Hills, CA 91307, USA",424912
10719863,91307,,2,3,7,2,1956,474596,34.20618,-118.616669,"7452 Asman Ave, Canoga Park, CA 91307, USA",425689
10719954,91307,1,3,4,4,3,1981,464623,34.201901,-118.616368,"7229 Sausalito Ave, West Hills, CA 91307, USA",660600
10720111,91307,,2,4,7,2,1964,478517,34.204059,-118.617553,"7351 Asman Ave, West Hills, CA 91307, USA",346777
10720158,91307,,2,3,7,2,1963,611987,34.203043,-118.615152,"7305 Shoup Ave, Canoga Park, CA 91307, USA",522643
10720168,91307,1,2,3,7,2,1964,391911,34.203222,-118.615532,"7314 Sausalito Ave, Canoga Park, CA 91307, USA",497006
10720221,91303,,1,3,7,1,1952,162603,34.207985,-118.605875,"7568 Topanga Canyon Blvd, Canoga Park, CA 91303, USA",256098
10720295,91303,,1,2,7,1,1918,87672,34.204375,-118.606692,"22016 Valerio St, Canoga Park, CA 91303, USA",-91943
10720359,91303,,2,3,7,2,1977,353585,34.201689,-118.606353,"7225 Topanga Canyon Blvd, Canoga Park, CA 91303, USA",211410
10720440,91303,,2,3,7,2,1950,60534,34.203095,-118.608045,"22057 Wyandotte St, Canoga Park, CA 91303, USA",531668
10720461,91303,,1,2,7,1,1940,126198,34.204002,-118.607551,"22041 Leadwell St, Canoga Park, CA 91303, USA",336716
10720466,91303,1,2,4,4,2,1947,520189,34.204001,-118.608544,"22109 Leadwell St, Canoga Park, CA 91303, USA",353797
10720470,91303,,1,1,7,1,1939,92339,34.204,-118.609205,"22131 Leadwell St, Canoga Park, CA 91303, USA",-137470
10720551,91303,,2,3,7,2,1948,218594,34.207982,-118.607563,"22046 Saticoy St, Canoga Park, CA 91303, USA",397068
10720589,91303,,2,3,7,2,1956,300883,34.206824,-118.613426,"22325 Cohasset St, Canoga Park, CA 91303, USA",424457
10720607,91303,,2,3,7,2,1956,465008,34.207476,-118.612993,"22319 Covello St, Canoga Park, CA 91303, USA",419520
10720660,91303,,2,3,7,2,1956,403480,34.206086,-118.611307,"22227 Runnymede St, Canoga Park, CA 91303, USA",420486
10720727,91303,,2,3,7,2,1956,199273,34.20489,-118.612114,"22250 Gifford St, Canoga Park, CA 91303, USA",419452
10720769,91303,,2,3,7,2,1956,389089,34.203377,-118.612457,"22300 Leadwell St, Canoga Park, CA 91303, USA",424464
10720814,91303,1,3,4,4,3,1965,435458,34.202613,-118.611896,"22248 Wyandotte St, Canoga Park, CA 91303, USA",494123
10720826,91303,1,2,4,4,2,1970,83385,34.20259,-118.613414,"22338 Wyandotte St, Canoga Park, CA 91303, USA",471449
10720964,91303,,2,3,7,2,1952,313529,34.196195,-118.606172,"6921 Topanga Canyon Blvd, Canoga Park, CA 91303, USA",357558
10721053,91303,,1,2,7,1,1952,168105,34.195819,-118.60852,"22109 Bassett St, Canoga Park, CA 91303, USA",272105
10721412,91307,,1,4,4,1,1962,506348,34.195294,-118.614545,"6856 Shoup Ave, Canoga Park, CA 91307, USA",280091
10721432,91303,1,2,4,4,2,1963,506000,34.196307,-118.614547,"22346 Schoolcraft St, Canoga Park, CA 91303, USA",321085
10721540,91307,1,3,3,4,3,1979,524000,34.200212,-118.616877,"7142 Asman Ave, West Hills, CA 91307, USA",483205
10721601,91307,1,2,3,4,2,1958,226958,34.198304,-118.622108,"7020 Maynard Ave, West Hills, CA 91307, USA",316738
10721630,91307,,2,5,4,2,1958,438942,34.198517,-118.621169,"7016 Ponce Ave, West Hills, CA 91307, USA",352795
10721653,91307,,2,3,4,2,1958,478634,34.197678,-118.621376,"22710 Vose St, West Hills, CA 91307, USA",382641
10721656,91307,,2,3,7,2,1962,258820,34.198968,-118.618483,"7085 Sale Ave, West Hills, CA 91307, USA",527514
10721741,91307,,2,4,7,2,1954,102265,34.197152,-118.618588,"22549 Marlin Pl, West Hills, CA 91307, USA",526464
10721777,91307,1,3,5,4,3,2007,691834,34.197515,-118.616284,"7011 Shoup Ave, West Hills, CA 91307, USA",663819
10721806,91307,,2,3,7,2,1959,429001,34.1963,-118.615997,"22435 Schoolcraft St, West Hills, CA 91307, USA",455438
10721817,91307,,2,5,7,2,1958,66865,34.196622,-118.618713,"22550 Marlin Pl, West Hills, CA 91307, USA",401086
10721842,91307,,2,3,7,2,1962,71580,34.195725,-118.620209,"22700 Schoolcraft St, West Hills, CA 91307, USA",389654
10721911,91307,,2,4,7,2,1960,545688,34.194373,-118.61652,"22452 Hartland St, Canoga Park, CA 91307, USA",409489
10721983,91303,1,2,3,4,2,1960,455000,34.194845,-118.610138,"6836 Farralone Ave, Canoga Park, CA 91303, USA",361721
10722012,91303,1,2,3,4,2,1960,467220,34.195692,-118.609899,"22153 Bassett St, Canoga Park, CA 91303, USA",379986
10722040,91303,1,2,3,4,2,1960,422975,34.196647,-118.611991,"22250 Marlin Pl, Canoga Park, CA 91303, USA",345963
10722050,91303,1,2,3,4,2,1960,468000,34.194917,-118.613375,"22321 Hartland St, Canoga Park, CA 91303, USA",380007
10722058,91303,1,2,3,4,2,1960,86240,34.195919,-118.61294,"22314 Schoolcraft St, Canoga Park, CA 91303, USA",379967
10722068,91303,1,2,3,4,2,1960,452000,34.197862,-118.610994,"22221 Hart St, Canoga Park, CA 91303, USA",345962
10722257,91307,1,3,5,4,3,2000,532214,34.199572,-118.617653,"7112 Capistrano Ave, Canoga Park, CA 91307, USA",782069
10722275,91307,1,3,4,4,3,2001,717888,34.198395,-118.61573,"7055 Shoup Ave, West Hills, CA 91307, USA",896914
10722417,91307,,2,3,7,2,1956,469189,34.200672,-118.624685,"22834 Sherman Way, West Hills, CA 91307, USA",429956
10722564,91307,,2,4,7,2,1958,551000,34.195641,-118.626421,"6944 Lena Ave, West Hills, CA 91307, USA",368416
10722609,91307,,3,4,7,3,1958,552930,34.19505,-118.627221,"6915 Lena Ave, West Hills, CA 91307, USA",481318
10722623,91307,,2,3,7,2,1958,509743,34.196442,-118.626498,"6953 Lena Ave, West Hills, CA 91307, USA",498374
10722645,91307,,2,3,7,2,1958,506014,34.195305,-118.627854,"6926 Royer Ave, West Hills, CA 91307, USA",498283
10722653,91307,,2,3,7,2,1958,68081,34.196583,-118.627341,"6966 Royer Ave, West Hills, CA 91307, USA",498264
10722794,91307,,2,3,7,2,1959,376234,34.193977,-118.633419,"23251 Vanowen St, West Hills, CA 91307, USA",496971
10722801,91307,,2,4,7,2,1959,69111,34.194351,-118.633419,"23250 Hartland St, Canoga Park, CA 91307, USA",410776
10722916,91307,1,3,5,4,3,1979,622187,34.200017,-118.628316,"23008 Enadia Way, West Hills, CA 91307, USA",662930
10723074,91304,1,3,4,4,3,1963,476425,34.207492,-118.6363,"7500 Chaminade Ave, West Hills, CA 91304, USA",513357
10723199,91307,,3,5,4,3,1964,92573,34.204414,-118.635515,"7417 Jason Ave, West Hills, CA 91307, USA",476263
10723214,91307,1,4,5,1,4,1990,519288,34.203927,-118.634284,"7402 Jason Ave, West Hills, CA 91307, USA",864804
10723215,91307,1,4,5,1,4,1990,567158,34.203806,-118.634014,"7325 Woodvale Ct, West Hills, CA 91307, USA",1181387
10723233,91304,1,3,5,4,3,1966,640000,34.204002,-118.636034,"23272 Valerio St, Canoga Park, CA 91304, USA",519781
10723241,91304,1,3,5,4,3,1964,560359,34.205371,-118.63664,"7443 Chaminade Ave, West Hills, CA 91304, USA",354633
10723311,91307,1,3,5,4,3,1966,332001,34.201308,-118.63606,"7236 Cirrus Way, West Hills, CA 91307, USA",638168
10723315,91307,1,3,4,4,3,1966,428401,34.202205,-118.635929,"7268 Cirrus Way, West Hills, CA 91307, USA",610831
10723353,91307,1,3,6,4,3,1969,132419,34.20147,-118.64112,"7232 Hyannis Dr, West Hills, CA 91307, USA",498689
10723446,91307,1,3,5,4,3,1971,499635,34.202456,-118.640742,"7259 Hyannis Dr, West Hills, CA 91307, USA",580697
